timestamp,open,high,low,close,volume
2024-01-02T00:00:00Z,100.0000,100.0453,99.5251,99.7198,837
2024-01-03T00:00:00Z,99.7198,100.2640,99.5455,100.2357,1059
2024-01-04T00:00:00Z,100.2357,100.2616,99.6580,99.7831,923
2024-01-05T00:00:00Z,99.7831,99.9102,98.8904,99.1363,863
2024-01-06T00:00:00Z,99.1363,100.0431,98.9629,99.8542,831
2024-01-07T00:00:00Z,99.8542,100.1062,99.5617,99.9872,823
2024-01-08T00:00:00Z,99.9872,100.1292,99.8615,100.0892,1076
2024-01-09T00:00:00Z,100.0892,100.1818,99.2464,99.4900,892
2024-01-10T00:00:00Z,99.4900,99.6605,98.8167,98.8725,849
2024-01-11T00:00:00Z,98.8725,98.9823,98.8548,98.9636,905
2024-01-12T00:00:00Z,98.9636,99.1329,98.7329,98.9750,1038
2024-01-13T00:00:00Z,98.9750,99.2636,98.8860,99.1289,892
2024-01-14T00:00:00Z,99.1289,99.5370,98.9580,99.4641,1068
2024-01-15T00:00:00Z,99.4641,99.5798,99.3302,99.4773,1111
2024-01-16T00:00:00Z,99.4773,100.2992,99.3525,100.2637,1187
2024-01-17T00:00:00Z,100.2637,100.5444,99.9071,100.0336,1142
2024-01-18T00:00:00Z,100.0336,100.2011,99.1466,99.3819,960
2024-01-19T00:00:00Z,99.3819,99.4863,99.0050,99.1528,1033
2024-01-20T00:00:00Z,99.1528,99.1806,98.4148,98.4945,1156
2024-01-21T00:00:00Z,98.4945,98.7977,98.2872,98.7797,1131
2024-01-22T00:00:00Z,98.7797,99.1323,98.6476,98.9301,1166
2024-01-23T00:00:00Z,98.9301,99.1286,98.7706,98.7773,1036
2024-01-24T00:00:00Z,98.7773,98.9583,98.4312,98.5772,911
2024-01-25T00:00:00Z,98.5772,99.0674,98.5040,99.0290,1000
2024-01-26T00:00:00Z,99.0290,99.8672,98.9796,99.7187,1005
2024-01-27T00:00:00Z,99.7187,100.0918,99.4736,99.8272,1081
2024-01-28T00:00:00Z,99.8272,99.9516,99.3961,99.5032,994
2024-01-29T00:00:00Z,99.5032,100.3071,99.4506,100.2617,918
2024-01-30T00:00:00Z,100.2617,100.5497,100.0118,100.5461,893
2024-01-01T00:00:00Z,100.5461,100.5473,100.0685,100.1944,989
2024-01-02T00:00:00Z,100.1944,100.4962,100.1567,100.4002,1063
2024-01-03T00:00:00Z,100.4002,101.3517,100.1774,101.1529,1033
2024-01-04T00:00:00Z,101.1529,102.0671,100.8875,101.8288,1086
2024-01-05T00:00:00Z,101.8288,101.9507,101.6509,101.6825,1124
2024-01-06T00:00:00Z,101.6825,101.7407,101.2490,101.5489,1025
2024-01-07T00:00:00Z,101.5489,101.6525,101.0120,101.0280,800
2024-01-08T00:00:00Z,101.0280,101.3256,100.7404,101.1627,1114
2024-01-09T00:00:00Z,101.1627,101.4281,100.2357,100.4207,876
